#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
1,"Tähtikaaren Taa (2008 Remix)","Aikakone","Greatest Hits",243,130,"Dance","","","",2008,"/Volumes/Sammy/iTunes/iTunes Music/Music/Aikakone/Greatest Hits/2-05 Tähtikaaren Taa (2008 Remix).mp3"
2,"Taivas Lyö Tulta","Teräsbetoni","Metallitotuus",202,116,"","","","",2005,"/Volumes/Sammy/iTunes/iTunes Music/Music/Teräsbetoni/Metallitotuus/03 Taivas Lyö Tulta.mp3"
3,"Orkidea - Luminosity Beach Festival 06-07-2014","","",9636,134,"","","","",0,"/Volumes/Sammy/iTunes/iTunes Music/Music/Unknown Artist/Unknown Album/Orkidea - Luminosity Beach Festival 06-07-2014.mp3"
4,"1998 (Paul Van Dyk Remix)","Binary Finary","1998 (Single)",612,138,"Electronica","","","",1998,"/Volumes/Sammy/iTunes/iTunes Music/Music/Binary Finary/1998 (Single)/02 1998 (Paul Van Dyk Remix).mp3"
