#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
1,"It's Kinda Jazzy (Orignal Mix)","Alexis Raphael","It's Kinda Jazzy",390,125,"Tech House","Hot Creations","","",2017,"D:/18pirde/tech/Alexis Raphael It's Kinda Jazzy(Orignal Mix).mp3"
2,"Born Slippy (Reincarnation Mix)","Andrew Meller","Born Slippy",557,125,"Tech House","Glasgow Underground","","",2018,"D:/18pirde/tech/Andrew Meller Born Slippy(Reincarnation Mix).mp3"
3,"Insomnia (Original Mix)","Andrew Meller","Insomnia",404,126,"Tech House","Glasgow Underground","","",2018,"D:/18pirde/tech/Andrew Meller Insomnia(Original Mix).mp3"
4,"Frequency Freakin (Original Mix)","Block & Crown","Frequency Freakin",349,124,"House","Nervous Records","","",2018,"D:/18pirde/housefast/Block & Crown Frequency Freakin(Original Mix).mp3"
5,"Confessions (Bontan Remix)","Booka Shade","Cut the Strings - Album Remixes 2",465,124,"Tech House","Blaufield Music","","Bontan",2018,"D:/18pirde/tech/Bontan,Booka Shade Confessions(Bontan Remix).mp3"
